local_time,utc_time,endpoint,priority,purpose
2026-09-20T11:45:00-05:00,2026-09-20T16:45:00+00:00,injuries,STANDARD,"Detect additions, status changes, and removals"
2026-09-20T11:45:00-05:00,2026-09-20T16:45:00+00:00,games,STANDARD,Track game state and clock for injury context
2026-09-20T11:55:00-05:00,2026-09-20T16:55:00+00:00,injuries,NOON_PREKICK,"Detect additions, status changes, and removals"
2026-09-20T11:55:00-05:00,2026-09-20T16:55:00+00:00,games,NOON_PREKICK,Track game state and clock for injury context
2026-09-20T12:00:00-05:00,2026-09-20T17:00:00+00:00,injuries,STANDARD,"Detect additions, status changes, and removals"
2026-09-20T12:00:00-05:00,2026-09-20T17:00:00+00:00,games,STANDARD,Track game state and clock for injury context
2026-09-20T12:15:00-05:00,2026-09-20T17:15:00+00:00,injuries,STANDARD,"Detect additions, status changes, and removals"
2026-09-20T12:15:00-05:00,2026-09-20T17:15:00+00:00,games,STANDARD,Track game state and clock for injury context
2026-09-20T12:30:00-05:00,2026-09-20T17:30:00+00:00,injuries,STANDARD,"Detect additions, status changes, and removals"
2026-09-20T12:30:00-05:00,2026-09-20T17:30:00+00:00,games,STANDARD,Track game state and clock for injury context
2026-09-20T12:45:00-05:00,2026-09-20T17:45:00+00:00,injuries,STANDARD,"Detect additions, status changes, and removals"
2026-09-20T12:45:00-05:00,2026-09-20T17:45:00+00:00,games,STANDARD,Track game state and clock for injury context
2026-09-20T13:00:00-05:00,2026-09-20T18:00:00+00:00,injuries,STANDARD,"Detect additions, status changes, and removals"
2026-09-20T13:00:00-05:00,2026-09-20T18:00:00+00:00,games,STANDARD,Track game state and clock for injury context
2026-09-20T13:15:00-05:00,2026-09-20T18:15:00+00:00,injuries,STANDARD,"Detect additions, status changes, and removals"
2026-09-20T13:15:00-05:00,2026-09-20T18:15:00+00:00,games,STANDARD,Track game state and clock for injury context
2026-09-20T13:30:00-05:00,2026-09-20T18:30:00+00:00,injuries,STANDARD,"Detect additions, status changes, and removals"
2026-09-20T13:30:00-05:00,2026-09-20T18:30:00+00:00,games,STANDARD,Track game state and clock for injury context
2026-09-20T13:45:00-05:00,2026-09-20T18:45:00+00:00,injuries,STANDARD,"Detect additions, status changes, and removals"
