team,sharp_rush_def_rank,sharp_last_verified,sharp_status,current_q1_rush_yds_allowed_per_game,current_public_rush_def_rank,model_def_input,model_source_used,integrity_note
ARI,24,2026-09-06,Verified preseason,,,24,Sharp verified preseason,Refresh weekly once 2026 games are completed
ATL,23,2026-09-06,Verified preseason,,,23,Sharp verified preseason,Refresh weekly once 2026 games are completed
BAL,11,2026-09-06,Verified preseason,,,11,Sharp verified preseason,Refresh weekly once 2026 games are completed
BUF,27,2026-09-06,Verified preseason,,,27,Sharp verified preseason,Refresh weekly once 2026 games are completed
CAR,29,2026-09-06,Verified preseason,,,29,Sharp verified preseason,Refresh weekly once 2026 games are completed
CHI,28,2026-09-06,Verified preseason,,,28,Sharp verified preseason,Refresh weekly once 2026 games are completed
CIN,31,2026-09-06,Verified preseason,,,31,Sharp verified preseason,Refresh weekly once 2026 games are completed
CLE,4,2026-09-06,Verified preseason,,,4,Sharp verified preseason,Refresh weekly once 2026 games are completed
DAL,30,2026-09-06,Verified preseason,,,30,Sharp verified preseason,Refresh weekly once 2026 games are completed
DEN,1,2026-09-06,Verified preseason,,,1,Sharp verified preseason,Refresh weekly once 2026 games are completed
DET,20,2026-09-06,Verified preseason,,,20,Sharp verified preseason,Refresh weekly once 2026 games are completed
GB,16,2026-09-06,Verified preseason,,,16,Sharp verified preseason,Refresh weekly once 2026 games are completed
HOU,3,2026-09-06,Verified preseason,,,3,Sharp verified preseason,Refresh weekly once 2026 games are completed
IND,7,2026-09-06,Verified preseason,,,7,Sharp verified preseason,Refresh weekly once 2026 games are completed
JAX,6,2026-09-06,Verified preseason,,,6,Sharp verified preseason,Refresh weekly once 2026 games are completed
KC,8,2026-09-06,Verified preseason,,,8,Sharp verified preseason,Refresh weekly once 2026 games are completed
LA,5,2026-09-06,Verified preseason,,,5,Sharp verified preseason,Refresh weekly once 2026 games are completed
LAC,18,2026-09-06,Verified preseason,,,18,Sharp verified preseason,Refresh weekly once 2026 games are completed
LV,17,2026-09-06,Verified preseason,,,17,Sharp verified preseason,Refresh weekly once 2026 games are completed
MIA,22,2026-09-06,Verified preseason,,,22,Sharp verified preseason,Refresh weekly once 2026 games are completed
MIN,15,2026-09-06,Verified preseason,,,15,Sharp verified preseason,Refresh weekly once 2026 games are completed
NE,10,2026-09-06,Verified preseason,,,10,Sharp verified preseason,Refresh weekly once 2026 games are completed
NO,13,2026-09-06,Verified preseason,,,13,Sharp verified preseason,Refresh weekly once 2026 games are completed
NYG,32,2026-09-06,Verified preseason,,,32,Sharp verified preseason,Refresh weekly once 2026 games are completed
NYJ,12,2026-09-06,Verified preseason,,,12,Sharp verified preseason,Refresh weekly once 2026 games are completed
PHI,19,2026-09-06,Verified preseason,,,19,Sharp verified preseason,Refresh weekly once 2026 games are completed
PIT,8,2026-09-06,Verified preseason,,,8,Sharp verified preseason,Refresh weekly once 2026 games are completed
SEA,2,2026-09-06,Verified preseason,,,2,Sharp verified preseason,Refresh weekly once 2026 games are completed
SF,25,2026-09-06,Verified preseason,,,25,Sharp verified preseason,Refresh weekly once 2026 games are completed
TB,13,2026-09-06,Verified preseason,,,13,Sharp verified preseason,Refresh weekly once 2026 games are completed
TEN,20,2026-09-06,Verified preseason,,,20,Sharp verified preseason,Refresh weekly once 2026 games are completed
WAS,26,2026-09-06,Verified preseason,,,26,Sharp verified preseason,Refresh weekly once 2026 games are completed
