model,score_band,n,avg_actual_yards,median_actual_yards,hit20_rate,hit25_rate
v0.4 baseline,0-39,207,5.0,0.0,0.06763285024154589,0.05314009661835749
v0.4 baseline,40-49,101,10.801980198019802,5.0,0.2079207920792079,0.15841584158415842
v0.4 baseline,50-59,65,14.861538461538462,10.0,0.3076923076923077,0.18461538461538463
v0.4 baseline,60-69,46,18.52173913043478,16.5,0.32608695652173914,0.2826086956521739
v0.4 baseline,70-79,26,20.73076923076923,18.5,0.4230769230769231,0.38461538461538464
v0.4 baseline,80-100,11,25.0,17.0,0.36363636363636365,0.2727272727272727
walk-forward optimized,0-39,270,5.611111111111111,1.0,0.08518518518518518,0.06296296296296296
walk-forward optimized,40-49,43,10.720930232558139,7.0,0.16279069767441862,0.11627906976744186
walk-forward optimized,50-59,32,15.5,9.5,0.40625,0.3125
walk-forward optimized,60-69,52,17.21153846153846,13.5,0.25,0.19230769230769232
walk-forward optimized,70-79,37,23.89189189189189,22.0,0.5405405405405406,0.43243243243243246
walk-forward optimized,80-100,22,23.045454545454547,17.5,0.4090909090909091,0.3181818181818182
