model,split,week,spearman,top5_capture,top10_capture,top5_overlap,top10_overlap,top5_hit20,top10_hit20,top5_avg_yards,top10_avg_yards,top1_yards
v0.4 baseline,train_wk5_12,5,0.22783732750507577,0.25903614457831325,0.3283582089552239,0.0,0.1,0.2,0.1,8.6,8.8,12.0
v0.4 baseline,train_wk5_12,6,0.4656442512556571,0.376,0.41089108910891087,0.2,0.4,0.4,0.4,18.8,16.6,40.0
v0.4 baseline,train_wk5_12,7,0.3931395102115407,0.4434389140271493,0.625,0.0,0.5,0.6,0.5,19.6,21.5,10.0
v0.4 baseline,train_wk5_12,8,0.4250353576830131,0.36486486486486486,0.44675925925925924,0.2,0.3,0.4,0.3,21.6,19.3,1.0
v0.4 baseline,train_wk5_12,9,0.45893026661327196,0.37735849056603776,0.5864022662889519,0.2,0.4,0.2,0.4,16.0,20.7,12.0
v0.4 baseline,train_wk5_12,10,0.3796492124670029,0.5412371134020618,0.6307692307692307,0.2,0.3,0.4,0.4,21.0,20.5,11.0
v0.4 baseline,train_wk5_12,11,0.2974451098365952,0.36693548387096775,0.4987593052109181,0.2,0.4,0.4,0.4,18.2,20.1,50.0
v0.4 baseline,train_wk5_12,12,0.43427912310082467,0.21363636363636362,0.34023668639053256,0.0,0.2,0.0,0.1,9.4,11.5,19.0
v0.4 baseline,test_wk13_18,13,0.47102458027010796,0.6111111111111112,0.5643044619422573,0.2,0.3,0.4,0.4,26.4,21.5,18.0
v0.4 baseline,test_wk13_18,14,0.4972344457929443,0.4354243542435424,0.42206235011990406,0.4,0.2,0.4,0.2,23.6,17.6,6.0
v0.4 baseline,test_wk13_18,15,0.5476210241229945,0.5272727272727272,0.7147766323024055,0.0,0.4,0.4,0.4,17.4,20.8,7.0
v0.4 baseline,test_wk13_18,16,0.37149488619816784,0.5938697318007663,0.5919395465994962,0.4,0.3,0.4,0.4,31.0,23.5,57.0
v0.4 baseline,test_wk13_18,17,0.41141588430125264,0.35856573705179284,0.4148681055155875,0.2,0.2,0.4,0.4,18.0,17.3,17.0
v0.4 baseline,test_wk13_18,18,0.47276957229297617,0.29692832764505117,0.4104803493449782,0.0,0.2,0.4,0.3,17.4,18.8,15.0
v0.4 baseline,all_wk5_18,5,0.22783732750507577,0.25903614457831325,0.3283582089552239,0.0,0.1,0.2,0.1,8.6,8.8,12.0
v0.4 baseline,all_wk5_18,6,0.4656442512556571,0.376,0.41089108910891087,0.2,0.4,0.4,0.4,18.8,16.6,40.0
v0.4 baseline,all_wk5_18,7,0.3931395102115407,0.4434389140271493,0.625,0.0,0.5,0.6,0.5,19.6,21.5,10.0
v0.4 baseline,all_wk5_18,8,0.4250353576830131,0.36486486486486486,0.44675925925925924,0.2,0.3,0.4,0.3,21.6,19.3,1.0
v0.4 baseline,all_wk5_18,9,0.45893026661327196,0.37735849056603776,0.5864022662889519,0.2,0.4,0.2,0.4,16.0,20.7,12.0
v0.4 baseline,all_wk5_18,10,0.3796492124670029,0.5412371134020618,0.6307692307692307,0.2,0.3,0.4,0.4,21.0,20.5,11.0
v0.4 baseline,all_wk5_18,11,0.2974451098365952,0.36693548387096775,0.4987593052109181,0.2,0.4,0.4,0.4,18.2,20.1,50.0
v0.4 baseline,all_wk5_18,12,0.43427912310082467,0.21363636363636362,0.34023668639053256,0.0,0.2,0.0,0.1,9.4,11.5,19.0
v0.4 baseline,all_wk5_18,13,0.47102458027010796,0.6111111111111112,0.5643044619422573,0.2,0.3,0.4,0.4,26.4,21.5,18.0
v0.4 baseline,all_wk5_18,14,0.4972344457929443,0.4354243542435424,0.42206235011990406,0.4,0.2,0.4,0.2,23.6,17.6,6.0
v0.4 baseline,all_wk5_18,15,0.5476210241229945,0.5272727272727272,0.7147766323024055,0.0,0.4,0.4,0.4,17.4,20.8,7.0
v0.4 baseline,all_wk5_18,16,0.37149488619816784,0.5938697318007663,0.5919395465994962,0.4,0.3,0.4,0.4,31.0,23.5,57.0
v0.4 baseline,all_wk5_18,17,0.41141588430125264,0.35856573705179284,0.4148681055155875,0.2,0.2,0.4,0.4,18.0,17.3,17.0
v0.4 baseline,all_wk5_18,18,0.47276957229297617,0.29692832764505117,0.4104803493449782,0.0,0.2,0.4,0.3,17.4,18.8,15.0
walk-forward optimized,train_wk5_12,5,0.3905131621438865,0.3614457831325301,0.458955223880597,0.0,0.2,0.2,0.2,12.0,12.3,12.0
walk-forward optimized,train_wk5_12,6,0.4565028126663435,0.468,0.44801980198019803,0.2,0.3,0.6,0.4,23.4,18.1,40.0
walk-forward optimized,train_wk5_12,7,0.4039331643056169,0.3212669683257919,0.49709302325581395,0.0,0.4,0.4,0.4,14.2,17.1,16.0
walk-forward optimized,train_wk5_12,8,0.5425343404575615,0.4391891891891892,0.6828703703703703,0.2,0.4,0.6,0.5,26.0,29.5,1.0
walk-forward optimized,train_wk5_12,9,0.5258672880663936,0.5377358490566038,0.5495750708215298,0.2,0.4,0.6,0.4,22.8,19.4,42.0
walk-forward optimized,train_wk5_12,10,0.5307327240142895,0.7164948453608248,0.8676923076923077,0.4,0.7,0.8,0.7,27.8,28.2,11.0
walk-forward optimized,train_wk5_12,11,0.4109111103361145,0.5483870967741935,0.6774193548387096,0.4,0.5,0.6,0.5,27.2,27.3,50.0
walk-forward optimized,train_wk5_12,12,0.5918966308986673,0.5,0.5118343195266272,0.2,0.3,0.4,0.2,22.0,17.3,29.0
walk-forward optimized,test_wk13_18,13,0.5727038384661403,0.6527777777777778,0.5721784776902887,0.4,0.3,0.6,0.4,28.2,21.8,45.0
walk-forward optimized,test_wk13_18,14,0.5467261836733326,0.5535055350553506,0.5563549160671463,0.4,0.4,0.6,0.5,30.0,23.2,6.0
walk-forward optimized,test_wk13_18,15,0.5368129483368885,0.5393939393939394,0.7766323024054983,0.2,0.5,0.4,0.5,17.8,22.6,25.0
walk-forward optimized,test_wk13_18,16,0.5913391097733592,0.6896551724137931,0.7556675062972292,0.4,0.5,0.6,0.6,36.0,30.0,57.0
walk-forward optimized,test_wk13_18,17,0.5673289596313951,0.32270916334661354,0.5683453237410072,0.2,0.3,0.4,0.6,16.2,23.7,0.0
walk-forward optimized,test_wk13_18,18,0.408392344023533,0.41638225255972694,0.4366812227074236,0.2,0.2,0.2,0.3,24.4,20.0,15.0
walk-forward optimized,all_wk5_18,5,0.3905131621438865,0.3614457831325301,0.458955223880597,0.0,0.2,0.2,0.2,12.0,12.3,12.0
walk-forward optimized,all_wk5_18,6,0.4565028126663435,0.468,0.44801980198019803,0.2,0.3,0.6,0.4,23.4,18.1,40.0
walk-forward optimized,all_wk5_18,7,0.4039331643056169,0.3212669683257919,0.49709302325581395,0.0,0.4,0.4,0.4,14.2,17.1,16.0
