model,split,week,spearman,top5_capture,top10_capture,top5_overlap,top10_overlap,top5_hit20,top10_hit20,top5_avg_yards,top10_avg_yards,top1_yards
v0.5 production calibrated,train_wk5_12,5,0.3506783944315281,0.3614457831325301,0.4141791044776119,0.0,0.2,0.2,0.2,12.0,11.1,12.0
v0.5 production calibrated,train_wk5_12,6,0.4713176343490249,0.504,0.4282178217821782,0.2,0.3,0.6,0.4,25.2,17.3,40.0
v0.5 production calibrated,train_wk5_12,7,0.40047035377714196,0.3257918552036199,0.4011627906976744,0.0,0.4,0.4,0.4,14.4,13.8,21.0
v0.5 production calibrated,train_wk5_12,8,0.5086578629705659,0.581081081081081,0.5023148148148148,0.4,0.3,0.6,0.4,34.4,21.7,1.0
v0.5 production calibrated,train_wk5_12,9,0.5145405578899966,0.45754716981132076,0.5042492917847026,0.2,0.3,0.4,0.3,19.4,17.8,42.0
v0.5 production calibrated,train_wk5_12,10,0.4845677813804796,0.6443298969072165,0.683076923076923,0.4,0.4,0.6,0.5,25.0,22.2,11.0
v0.5 production calibrated,train_wk5_12,11,0.3830576993607803,0.3911290322580645,0.5161290322580645,0.2,0.4,0.4,0.4,19.4,20.8,50.0
v0.5 production calibrated,train_wk5_12,12,0.5571028341092796,0.34545454545454546,0.5236686390532544,0.0,0.3,0.2,0.2,15.2,17.7,29.0
v0.5 production calibrated,test_wk13_18,13,0.5637839867589294,0.5416666666666666,0.6377952755905512,0.2,0.4,0.4,0.5,23.4,24.3,45.0
v0.5 production calibrated,test_wk13_18,14,0.5208116186640944,0.4575645756457565,0.5323741007194245,0.4,0.4,0.4,0.4,24.8,22.2,6.0
v0.5 production calibrated,test_wk13_18,15,0.54579597623806,0.45454545454545453,0.7285223367697594,0.0,0.4,0.2,0.4,15.0,21.2,7.0
v0.5 production calibrated,test_wk13_18,16,0.5257428126047033,0.6168582375478927,0.7556675062972292,0.4,0.5,0.4,0.6,32.2,30.0,57.0
v0.5 production calibrated,test_wk13_18,17,0.5300453981394044,0.32270916334661354,0.3645083932853717,0.2,0.1,0.4,0.4,16.2,15.2,23.0
v0.5 production calibrated,test_wk13_18,18,0.4426576429411399,0.49829351535836175,0.4366812227074236,0.2,0.2,0.4,0.3,29.2,20.0,15.0
v0.5 production calibrated,all_wk5_18,5,0.3506783944315281,0.3614457831325301,0.4141791044776119,0.0,0.2,0.2,0.2,12.0,11.1,12.0
v0.5 production calibrated,all_wk5_18,6,0.4713176343490249,0.504,0.4282178217821782,0.2,0.3,0.6,0.4,25.2,17.3,40.0
v0.5 production calibrated,all_wk5_18,7,0.40047035377714196,0.3257918552036199,0.4011627906976744,0.0,0.4,0.4,0.4,14.4,13.8,21.0
v0.5 production calibrated,all_wk5_18,8,0.5086578629705659,0.581081081081081,0.5023148148148148,0.4,0.3,0.6,0.4,34.4,21.7,1.0
v0.5 production calibrated,all_wk5_18,9,0.5145405578899966,0.45754716981132076,0.5042492917847026,0.2,0.3,0.4,0.3,19.4,17.8,42.0
v0.5 production calibrated,all_wk5_18,10,0.4845677813804796,0.6443298969072165,0.683076923076923,0.4,0.4,0.6,0.5,25.0,22.2,11.0
v0.5 production calibrated,all_wk5_18,11,0.3830576993607803,0.3911290322580645,0.5161290322580645,0.2,0.4,0.4,0.4,19.4,20.8,50.0
v0.5 production calibrated,all_wk5_18,12,0.5571028341092796,0.34545454545454546,0.5236686390532544,0.0,0.3,0.2,0.2,15.2,17.7,29.0
v0.5 production calibrated,all_wk5_18,13,0.5637839867589294,0.5416666666666666,0.6377952755905512,0.2,0.4,0.4,0.5,23.4,24.3,45.0
v0.5 production calibrated,all_wk5_18,14,0.5208116186640944,0.4575645756457565,0.5323741007194245,0.4,0.4,0.4,0.4,24.8,22.2,6.0
v0.5 production calibrated,all_wk5_18,15,0.54579597623806,0.45454545454545453,0.7285223367697594,0.0,0.4,0.2,0.4,15.0,21.2,7.0
v0.5 production calibrated,all_wk5_18,16,0.5257428126047033,0.6168582375478927,0.7556675062972292,0.4,0.5,0.4,0.6,32.2,30.0,57.0
v0.5 production calibrated,all_wk5_18,17,0.5300453981394044,0.32270916334661354,0.3645083932853717,0.2,0.1,0.4,0.4,16.2,15.2,23.0
v0.5 production calibrated,all_wk5_18,18,0.4426576429411399,0.49829351535836175,0.4366812227074236,0.2,0.2,0.4,0.3,29.2,20.0,15.0
