team,player_name,gsis_id,pos_slot,pos_rank,depth_snapshot_utc,depth_source
ARI,Jeremiyah Love,00-0041027,11,1,2026-09-08T11:56:57+00:00,nflverse depth charts via nflreadpy
ARI,Tyler Allgeier,00-0037263,11,2,2026-09-08T11:56:57+00:00,nflverse depth charts via nflreadpy
ARI,Bam Knight,00-0037157,11,3,2026-09-08T11:56:57+00:00,nflverse depth charts via nflreadpy
ARI,James Conner,00-0033553,11,4,2026-09-08T11:56:57+00:00,nflverse depth charts via nflreadpy
ARI,Trey Benson,00-0039921,11,5,2026-09-08T11:56:57+00:00,nflverse depth charts via nflreadpy
ATL,Bijan Robinson,00-0038542,11,1,2026-09-08T11:56:57+00:00,nflverse depth charts via nflreadpy
ATL,Brian Robinson Jr.,00-0037746,11,2,2026-09-08T11:56:57+00:00,nflverse depth charts via nflreadpy
ATL,Trey Sermon,00-0036984,11,3,2026-09-08T11:56:57+00:00,nflverse depth charts via nflreadpy
BAL,Derrick Henry,00-0032764,11,1,2026-09-08T11:56:57+00:00,nflverse depth charts via nflreadpy
BAL,Justice Hill,00-0034975,11,2,2026-09-08T11:56:57+00:00,nflverse depth charts via nflreadpy
BAL,Rasheen Ali,00-0039796,11,3,2026-09-08T11:56:57+00:00,nflverse depth charts via nflreadpy
BAL,Adam Randall,00-0040888,11,4,2026-09-08T11:56:57+00:00,nflverse depth charts via nflreadpy
BUF,James Cook III,00-0037248,11,1,2026-09-08T11:56:57+00:00,nflverse depth charts via nflreadpy
BUF,Ray Davis,00-0039875,11,2,2026-09-08T11:56:57+00:00,nflverse depth charts via nflreadpy
BUF,Ty Johnson,00-0035537,11,3,2026-09-08T11:56:57+00:00,nflverse depth charts via nflreadpy
CAR,Chuba Hubbard,00-0036555,11,1,2026-09-08T11:56:57+00:00,nflverse depth charts via nflreadpy
CAR,Jonathon Brooks,00-0039344,11,2,2026-09-08T11:56:57+00:00,nflverse depth charts via nflreadpy
CAR,AJ Dillon,00-0036265,11,3,2026-09-08T11:56:57+00:00,nflverse depth charts via nflreadpy
CAR,Trevor Etienne,00-0040644,11,4,2026-09-08T11:56:57+00:00,nflverse depth charts via nflreadpy
CHI,D'Andre Swift,00-0036275,11,1,2026-09-08T11:56:57+00:00,nflverse depth charts via nflreadpy
CHI,Kyle Monangai,00-0040236,11,2,2026-09-08T11:56:57+00:00,nflverse depth charts via nflreadpy
CHI,Roschon Johnson,00-0039021,11,3,2026-09-08T11:56:57+00:00,nflverse depth charts via nflreadpy
CHI,Brittain Brown,00-0037329,11,4,2026-09-08T11:56:57+00:00,nflverse depth charts via nflreadpy
CIN,Chase Brown,00-0038597,11,1,2026-09-08T11:56:57+00:00,nflverse depth charts via nflreadpy
CIN,Samaje Perine,00-0033526,11,2,2026-09-08T11:56:57+00:00,nflverse depth charts via nflreadpy
CIN,Tahj Brooks,00-0040208,11,3,2026-09-08T11:56:57+00:00,nflverse depth charts via nflreadpy
CLE,Quinshon Judkins,00-0040784,11,1,2026-09-08T11:56:57+00:00,nflverse depth charts via nflreadpy
CLE,Dylan Sampson,00-0040162,11,2,2026-09-08T11:56:57+00:00,nflverse depth charts via nflreadpy
CLE,Raheim Sanders,00-0040466,11,3,2026-09-08T11:56:57+00:00,nflverse depth charts via nflreadpy
DAL,Javonte Williams,00-0036997,11,1,2026-09-08T11:56:57+00:00,nflverse depth charts via nflreadpy
DAL,Malik Davis,00-0037563,11,2,2026-09-08T11:56:57+00:00,nflverse depth charts via nflreadpy
