team_depth,depth_player_name,player_id,pos_slot,pos_rank,depth_snapshot_utc,depth_source,team_rb_order,player_name,team_hist,q1_rush_yds_games,q1_rush_yds_mean,q1_rush_yds_median,q1_rush_yds_std,q1_rush_yds_min,q1_rush_yds_p25,q1_rush_yds_p75,q1_rush_yds_max,q1_rush_yds_hit_15,q1_rush_yds_hit_20,q1_rush_yds_hit_25,q1_rush_att_mean,q1_rush_att_median,q1_rush_att_max,rb_q1_carry_share_mean,rb_q1_yard_share_mean,hist_data_available,same_team_2025_2026,depth_default_room_share,role_confidence
ARI,Jeremiyah Love,00-0041027,11,1,2026-09-06T11:29:30+00:00,nflverse depth charts via nflreadpy,1,,,,,,,,,,,,,,,,,,,False,False,0.68,0.55
ARI,Tyler Allgeier,00-0037263,11,2,2026-09-06T11:29:30+00:00,nflverse depth charts via nflreadpy,2,Tyler Allgeier,ATL,17.0,5.764705882352941,3.0,5.886469148066765,-1.0,1.0,11.0,20.0,0.0588235294117647,0.0588235294117647,0.0,1.411764705882353,1.0,4.0,0.2005225166989872,0.2371556713430806,True,False,0.25,0.72
ARI,Bam Knight,00-0037157,11,3,2026-09-06T11:29:30+00:00,nflverse depth charts via nflreadpy,3,Bam Knight,ARI,10.0,10.1,4.5,11.886547017532047,-2.0,1.75,16.75,31.0,0.3,0.3,0.2,2.7,3.0,5.0,0.5051190476190476,0.4241094886975894,True,True,0.07,0.9
ATL,Bijan Robinson,00-0038542,11,1,2026-09-06T11:29:30+00:00,nflverse depth charts via nflreadpy,1,Bijan Robinson,ATL,17.0,23.235294117647054,24.0,15.10562579954395,0.0,10.0,34.0,54.0,0.7058823529411765,0.5882352941176471,0.4705882352941176,5.0,5.0,9.0,0.7714662788192199,0.746653003642065,True,True,0.68,0.97
ATL,Brian Robinson Jr.,00-0037746,11,2,2026-09-06T11:29:30+00:00,nflverse depth charts via nflreadpy,2,Brian Robinson,SF,15.0,5.333333333333333,1.0,6.497862896539309,0.0,0.0,9.0,19.0,0.2,0.0,0.0,1.1333333333333333,1.0,3.0,0.1682611832611832,0.1474591705084244,True,False,0.25,0.72
ATL,Trey Sermon,00-0036984,11,3,2026-09-06T11:29:30+00:00,nflverse depth charts via nflreadpy,3,,,,,,,,,,,,,,,,,,,False,False,0.07,0.55
BAL,Derrick Henry,00-0032764,11,1,2026-09-06T11:29:30+00:00,nflverse depth charts via nflreadpy,1,Derrick Henry,BAL,17.0,26.11764705882353,15.0,23.02142826085189,-5.0,12.0,36.0,79.0,0.5294117647058824,0.4705882352941176,0.3529411764705882,5.294117647058823,5.0,11.0,0.7156142876731113,0.8182015030134328,True,True,0.68,0.97
BAL,Justice Hill,00-0034975,11,2,2026-09-06T11:29:30+00:00,nflverse depth charts via nflreadpy,2,Justice Hill,BAL,8.0,2.875,0.5,5.4872010169119925,0.0,0.0,1.75,17.0,0.125,0.0,0.0,0.875,0.5,3.0,0.109375,-0.0161210317460317,True,True,0.25,0.72
BAL,Rasheen Ali,00-0039796,11,3,2026-09-06T11:29:30+00:00,nflverse depth charts via nflreadpy,3,Rasheen Ali,BAL,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,1.0,0.0192307692307692,0.0,True,True,0.07,0.72
BUF,James Cook III,00-0037248,11,1,2026-09-06T11:29:30+00:00,nflverse depth charts via nflreadpy,1,James Cook,BUF,17.0,28.88235294117647,23.0,23.439238978162933,-1.0,10.0,42.0,79.0,0.5882352941176471,0.5294117647058824,0.4705882352941176,4.529411764705882,4.0,9.0,0.6656144509085684,0.6303048620479449,True,True,0.68,0.97
BUF,Ray Davis,00-0039875,11,2,2026-09-06T11:29:30+00:00,nflverse depth charts via nflreadpy,2,Ray Davis,BUF,10.0,7.7,0.0,15.053571004914415,0.0,0.0,3.75,47.0,0.2,0.2,0.2,1.2,0.0,7.0,0.1037179487179487,0.1148546679719927,True,True,0.25,0.9
BUF,Ty Johnson,00-0035537,11,3,2026-09-06T11:29:30+00:00,nflverse depth charts via nflreadpy,3,Ty Johnson,BUF,17.0,4.176470588235294,0.0,6.617581699023639,0.0,0.0,6.0,23.0,0.1176470588235294,0.0588235294117647,0.0,0.6470588235294118,0.0,3.0,0.0978021978021977,0.1683742820842597,True,True,0.07,0.97
CAR,Chuba Hubbard,00-0036555,11,1,2026-09-06T11:29:30+00:00,nflverse depth charts via nflreadpy,1,Chuba Hubbard,CAR,15.0,8.4,7.0,7.872314356866939,0.0,0.0,15.5,22.0,0.3333333333333333,0.1333333333333333,0.0,2.066666666666667,2.0,6.0,0.2864163614163614,0.2756509409403091,True,True,0.68,0.97
CAR,Jonathon Brooks,00-0039344,11,2,2026-09-06T11:29:30+00:00,nflverse depth charts via nflreadpy,2,,,,,,,,,,,,,,,,,,,False,False,0.25,0.55
CAR,AJ Dillon,00-0036265,11,3,2026-09-06T11:29:30+00:00,nflverse depth charts via nflreadpy,3,AJ Dillon,PHI,5.0,7.2,11.0,5.1146847410177685,0.0,2.0,11.0,12.0,0.0,0.0,0.0,1.2,1.0,2.0,0.2857142857142857,0.2101785714285714,True,False,0.07,0.72
CHI,D'Andre Swift,00-0036275,11,1,2026-09-06T11:29:30+00:00,nflverse depth charts via nflreadpy,1,D'Andre Swift,CHI,16.0,16.8125,17.0,12.962536161955343,-2.0,8.0,23.75,43.0,0.5625,0.375,0.25,3.8125,4.0,6.0,0.6009691697191697,0.7120465042848886,True,True,0.68,0.97
CHI,Kyle Monangai,00-0040236,11,2,2026-09-06T11:29:30+00:00,nflverse depth charts via nflreadpy,2,Kyle Monangai,CHI,16.0,12.4375,9.5,16.00378373229281,0.0,1.0,13.5,63.0,0.25,0.125,0.125,2.625,2.0,11.0,0.3126583485958486,0.2208023109903182,True,True,0.25,0.97
CHI,Roschon Johnson,00-0039021,11,3,2026-09-06T11:29:30+00:00,nflverse depth charts via nflreadpy,3,Roschon Johnson,CHI,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,0.07,0.72
CIN,Chase Brown,00-0038597,11,1,2026-09-06T11:29:30+00:00,nflverse depth charts via nflreadpy,1,Chase Brown,CIN,17.0,15.882352941176473,13.0,10.334877289127087,0.0,8.0,25.0,37.0,0.4705882352941176,0.4117647058823529,0.2941176470588235,4.176470588235294,4.0,7.0,0.6794924030218148,0.6436079149820855,True,True,0.68,0.97
CIN,Samaje Perine,00-0033526,11,2,2026-09-06T11:29:30+00:00,nflverse depth charts via nflreadpy,2,Samaje Perine,CIN,13.0,8.538461538461538,6.0,9.524182861096149,0.0,0.0,12.0,34.0,0.1538461538461538,0.1538461538461538,0.0769230769230769,1.7692307692307692,2.0,5.0,0.279989454989455,0.2934169937229912,True,True,0.25,0.9
CIN,Tahj Brooks,00-0040208,11,3,2026-09-06T11:29:30+00:00,nflverse depth charts via nflreadpy,3,Tahj Brooks,CIN,6.0,0.8333333333333334,0.0,1.8633899812498247,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.3333333333333333,0.0,2.0,0.037037037037037,0.0177304964539007,True,True,0.07,0.72
CLE,Quinshon Judkins,00-0040784,11,1,2026-09-06T11:29:30+00:00,nflverse depth charts via nflreadpy,1,Quinshon Judkins,CLE,14.0,16.5,16.0,12.804853990354038,-2.0,7.25,20.75,48.0,0.5714285714285714,0.2857142857142857,0.2142857142857142,5.071428571428571,4.5,8.0,0.8006725417439704,0.7434365840353235,True,True,0.68,0.9
CLE,Dylan Sampson,00-0040162,11,2,2026-09-06T11:29:30+00:00,nflverse depth charts via nflreadpy,2,Dylan Sampson,CLE,15.0,2.2666666666666666,1.0,5.567365225630123,-7.0,0.0,3.5,19.0,0.0666666666666666,0.0,0.0,0.8666666666666667,1.0,2.0,0.1495526695526695,0.0989200523514249,True,True,0.25,0.97
CLE,Raheim Sanders,00-0040466,11,3,2026-09-06T11:29:30+00:00,nflverse depth charts via nflreadpy,3,Raheim Sanders,CLE,4.0,4.5,1.0,6.689544080129826,0.0,0.0,5.5,16.0,0.25,0.0,0.0,1.5,0.5,5.0,0.2202380952380952,0.1895604395604395,True,True,0.07,0.72
