player_id,player_name,team,q1_rush_yds_games,q1_rush_yds_mean,q1_rush_yds_median,q1_rush_yds_std,q1_rush_yds_min,q1_rush_yds_p25,q1_rush_yds_p75,q1_rush_yds_max,q1_rush_yds_hit_15,q1_rush_yds_hit_20,q1_rush_yds_hit_25,q1_rush_att_mean,q1_rush_att_median,q1_rush_att_max,rb_q1_carry_share_mean,rb_q1_yard_share_mean
00-0039040,De'Von Achane,MIA,16,32.375,26.0,20.817285485864865,0.0,15.75,51.0,67.0,0.75,0.6875,0.6875,3.9375,4.5,6,0.6983382936507937,0.796842022246199
00-0037248,James Cook,BUF,17,28.88235294117647,23.0,23.439238978162933,-1.0,10.0,42.0,79.0,0.5882352941176471,0.5294117647058824,0.47058823529411764,4.529411764705882,4.0,9,0.6656144509085684,0.6303048620479449
00-0032764,Derrick Henry,BAL,17,26.11764705882353,15.0,23.02142826085189,-5.0,12.0,36.0,79.0,0.5294117647058824,0.47058823529411764,0.35294117647058826,5.294117647058823,5.0,11,0.7156142876731113,0.8182015030134328
00-0036997,Javonte Williams,DAL,16,23.9375,20.5,13.686072984972716,5.0,16.75,30.0,60.0,0.75,0.625,0.375,5.5,5.0,10,0.8224320818070818,0.8153523315175576
00-0038542,Bijan Robinson,ATL,17,23.235294117647058,24.0,15.10562579954395,0.0,10.0,34.0,54.0,0.7058823529411765,0.5882352941176471,0.47058823529411764,5.0,5.0,9,0.7714662788192199,0.746653003642065
00-0034844,Saquon Barkley,PHI,16,23.0,19.5,18.801595676963167,0.0,15.25,28.25,82.0,0.75,0.5,0.375,4.3125,4.0,8,0.6001488095238096,0.5860659112317322
00-0037840,Kyren Williams,LA,17,22.176470588235293,17.0,17.866285351161693,1.0,13.0,27.0,76.0,0.7058823529411765,0.35294117647058826,0.35294117647058826,4.235294117647059,4.0,8,0.6643270128564246,0.634809031198674
00-0036223,Jonathan Taylor,IND,17,22.0,22.0,16.542280943797607,2.0,8.0,31.0,62.0,0.5882352941176471,0.5294117647058824,0.4117647058823529,5.0588235294117645,5.0,10,0.7962248535777947,0.7527501698384985
00-0035261,Tony Pollard,TEN,17,21.941176470588236,13.0,19.90113974931585,1.0,10.0,28.0,87.0,0.47058823529411764,0.47058823529411764,0.35294117647058826,4.176470588235294,4.0,8,0.7565826330532213,0.8457818372479464
00-0036875,Rhamondre Stevenson,NE,14,21.714285714285715,18.0,20.768893537584283,-2.0,6.25,27.75,67.0,0.5,0.5,0.42857142857142855,3.2857142857142856,3.0,7,0.42388147566719,0.41656633950577643
00-0039361,Bucky Irving,TB,10,18.6,19.0,8.01498596380555,4.0,12.25,25.25,29.0,0.7,0.4,0.3,4.9,5.0,7,0.7446645021645022,0.687349430253842
00-0033280,Christian McCaffrey,SF,17,17.941176470588236,17.0,16.34722710156174,0.0,4.0,26.0,61.0,0.5294117647058824,0.35294117647058826,0.29411764705882354,4.235294117647059,4.0,8,0.6902809608691962,0.7039616818444969
00-0036275,D'Andre Swift,CHI,16,16.8125,17.0,12.962536161955345,-2.0,8.0,23.75,43.0,0.5625,0.375,0.25,3.8125,4.0,6,0.6009691697191697,0.7120465042848886
00-0035700,Josh Jacobs,GB,15,16.6,14.0,12.877888025604198,0.0,8.0,22.0,48.0,0.4666666666666667,0.4,0.2,4.266666666666667,5.0,7,0.5653644503644503,0.5117289904977665
00-0040784,Quinshon Judkins,CLE,14,16.5,16.0,12.804853990354038,-2.0,7.25,20.75,48.0,0.5714285714285714,0.2857142857142857,0.21428571428571427,5.071428571428571,4.5,8,0.8006725417439704,0.7434365840353235
00-0039139,Jahmyr Gibbs,DET,17,16.294117647058822,18.0,8.810185989105438,-4.0,12.0,21.0,32.0,0.7058823529411765,0.35294117647058826,0.11764705882352941,4.176470588235294,3.0,9,0.637857567269332,0.6715180443899674
00-0033906,Alvin Kamara,NO,11,15.909090909090908,14.0,6.8284770757141535,6.0,11.5,20.0,28.0,0.45454545454545453,0.2727272727272727,0.18181818181818182,3.909090909090909,3.0,9,0.6414141414141414,0.6887753069510055
00-0038597,Chase Brown,CIN,17,15.882352941176471,13.0,10.334877289127087,0.0,8.0,25.0,37.0,0.47058823529411764,0.4117647058823529,0.29411764705882354,4.176470588235294,4.0,7,0.6794924030218148,0.6436079149820855
00-0037228,Jaylen Warren,PIT,16,15.875,13.0,12.902882429906892,0.0,6.5,22.5,48.0,0.5,0.3125,0.25,3.375,3.0,7,0.5727678571428572,0.61994768951723
00-0038134,Kenneth Walker III,SEA,17,15.176470588235293,11.0,11.014617528900333,2.0,8.0,18.0,41.0,0.29411764705882354,0.23529411764705882,0.23529411764705882,3.4705882352941178,4.0,5,0.6194677871148458,0.6268376207137069
00-0038611,Chris Rodriguez Jr.,WAS,12,15.166666666666666,12.5,15.799964838216853,0.0,0.0,25.25,51.0,0.5,0.4166666666666667,0.25,2.4166666666666665,2.0,5,0.36021825396825397,0.40107746617501605
00-0038120,Breece Hall,NYJ,16,15.0625,15.0,11.121312591146784,1.0,6.25,17.5,42.0,0.5625,0.1875,0.125,3.8125,4.0,7,0.6179247835497836,0.8770812933467718
00-0036139,Rico Dowdle,CAR,17,15.058823529411764,11.0,12.927265250284417,0.0,4.0,31.0,34.0,0.4117647058823529,0.35294117647058826,0.29411764705882354,3.7058823529411766,3.0,8,0.5634633340515693,0.49758002886148406
00-0040122,Ashton Jeanty,LV,17,14.941176470588236,14.0,10.79471868818699,-1.0,6.0,24.0,35.0,0.47058823529411764,0.35294117647058826,0.17647058823529413,4.117647058823529,4.0,8,0.8087768440709617,0.7994639542012633
00-0033293,Aaron Jones,MIN,12,14.166666666666666,8.5,13.024549469708688,-1.0,4.5,25.25,35.0,0.4166666666666667,0.3333333333333333,0.25,4.0,3.5,9,0.6278439153439154,0.56770785439462
00-0036973,Travis Etienne,JAX,17,13.058823529411764,12.0,12.060975417754639,-3.0,6.0,16.0,51.0,0.35294117647058826,0.17647058823529413,0.11764705882352941,3.6470588235294117,4.0,7,0.6545518207282913,0.5661493637884562
00-0036158,J.K. Dobbins,DEN,10,12.7,9.5,11.027692415006868,-2.0,4.25,20.75,32.0,0.3,0.3,0.2,2.9,3.0,4,0.6032142857142857,0.3953833530211626
00-0040236,Kyle Monangai,CHI,16,12.4375,9.5,16.00378373229281,0.0,1.0,13.5,63.0,0.25,0.125,0.125,2.625,2.0,11,0.3126583485958486,0.22080231099031822
00-0039391,Kimani Vidal,LAC,12,12.25,7.0,14.922717580923388,0.0,1.0,17.25,53.0,0.3333333333333333,0.25,0.16666666666666666,3.3333333333333335,2.5,7,0.4656625781625781,0.4475606630211893
