team,expected_q1_rush_att,expected_q1_rush_yds,actual_q1_rush_att,actual_q1_rush_yds,att_diff,yds_diff,pass
ARI,96,383,96,383.0,0,0.0,True
ATL,112,501,112,501.0,0,0.0,True
BAL,130,637,130,637.0,0,0.0,True
BUF,119,732,119,732.0,0,0.0,True
CAR,115,496,115,496.0,0,0.0,True
CHI,121,550,121,550.0,0,0.0,True
CIN,106,418,106,418.0,0,0.0,True
CLE,107,393,107,393.0,0,0.0,True
DAL,122,577,122,577.0,0,0.0,True
DEN,99,454,99,454.0,0,0.0,True
DET,109,398,109,398.0,0,0.0,True
GB,117,480,117,480.0,0,0.0,True
HOU,108,339,108,339.0,0,0.0,True
IND,112,517,112,517.0,0,0.0,True
JAX,99,394,99,394.0,0,0.0,True
KC,98,429,98,429.0,0,0.0,True
LA,110,598,110,598.0,0,0.0,True
LAC,108,441,108,441.0,0,0.0,True
LV,89,352,89,352.0,0,0.0,True
MIA,102,657,102,657.0,0,0.0,True
MIN,103,377,103,377.0,0,0.0,True
NE,130,694,130,694.0,0,0.0,True
NO,94,342,94,342.0,0,0.0,True
NYG,106,461,106,461.0,0,0.0,True
NYJ,111,445,111,445.0,0,0.0,True
PHI,113,632,113,632.0,0,0.0,True
PIT,99,413,99,413.0,0,0.0,True
SEA,102,481,102,481.0,0,0.0,True
SF,104,456,104,456.0,0,0.0,True
TB,115,496,115,496.0,0,0.0,True
TEN,98,447,98,447.0,0,0.0,True
WAS,113,528,113,528.0,0,0.0,True
