defense,q1_rush_yds_allowed_games,q1_rush_yds_allowed_mean,q1_rush_yds_allowed_median,q1_rush_yds_allowed_std,q1_rush_yds_allowed_min,q1_rush_yds_allowed_p25,q1_rush_yds_allowed_p75,q1_rush_yds_allowed_max,q1_rush_yds_allowed_hit_20,q1_rush_yds_allowed_hit_25,q1_rush_yds_allowed_hit_30,q1_rush_yds_allowed_hit_35,q1_rush_yds_allowed_hit_40,q1_rush_att_allowed_mean,q1_rush_att_allowed_median,q1_rush_att_allowed_max
NYJ,17,39.05882352941177,34.0,23.5483747115824,13.0,20.0,48.0,96.0,0.8235294117647058,0.5882352941176471,0.5294117647058824,0.47058823529411764,0.4117647058823529,8.058823529411764,7.0,13
NYG,17,37.588235294117645,31.0,27.97910738081166,5.0,17.0,50.0,112.0,0.6470588235294118,0.5882352941176471,0.5294117647058824,0.4117647058823529,0.29411764705882354,6.823529411764706,7.0,12
BUF,17,36.529411764705884,30.0,21.390260694885317,2.0,20.0,52.0,82.0,0.7647058823529411,0.6470588235294118,0.5294117647058824,0.47058823529411764,0.4117647058823529,7.588235294117647,7.0,13
CLE,17,35.411764705882355,29.0,25.784306270035454,-2.0,14.0,53.0,92.0,0.7058823529411765,0.5294117647058824,0.47058823529411764,0.47058823529411764,0.4117647058823529,6.647058823529412,6.0,11
LAC,17,33.8235294117647,24.0,23.857999753733232,1.0,18.0,48.0,76.0,0.7058823529411765,0.47058823529411764,0.4117647058823529,0.4117647058823529,0.4117647058823529,6.705882352941177,6.0,13
CAR,17,33.76470588235294,30.0,19.20333736854002,5.0,20.0,50.0,79.0,0.7647058823529411,0.6470588235294118,0.5294117647058824,0.35294117647058826,0.35294117647058826,6.235294117647059,6.0,11
SF,17,33.35294117647059,30.0,17.374562801001687,13.0,27.0,34.0,88.0,0.8235294117647058,0.7647058823529411,0.5294117647058824,0.23529411764705882,0.17647058823529413,6.9411764705882355,6.0,12
WAS,17,33.23529411764706,28.0,19.788675941096468,2.0,18.0,44.0,78.0,0.6470588235294118,0.6470588235294118,0.47058823529411764,0.4117647058823529,0.29411764705882354,6.470588235294118,6.0,13
MIA,17,31.941176470588236,20.0,29.185956712161286,-1.0,12.0,56.0,108.0,0.5294117647058824,0.4117647058823529,0.4117647058823529,0.35294117647058826,0.35294117647058826,7.0,7.0,12
CHI,17,31.764705882352942,22.0,23.33522813199645,-3.0,21.0,41.0,94.0,0.7647058823529411,0.47058823529411764,0.35294117647058826,0.35294117647058826,0.35294117647058826,6.470588235294118,5.0,12
CIN,17,30.941176470588236,26.0,21.055865714067853,6.0,14.0,44.0,81.0,0.6470588235294118,0.5294117647058824,0.35294117647058826,0.35294117647058826,0.35294117647058826,6.529411764705882,6.0,13
NO,17,30.058823529411764,28.0,17.73156238176066,5.0,15.0,41.0,67.0,0.6470588235294118,0.5882352941176471,0.47058823529411764,0.35294117647058826,0.35294117647058826,7.294117647058823,7.0,13
PHI,17,29.764705882352942,30.0,16.32223100294487,11.0,18.0,36.0,84.0,0.7058823529411765,0.5882352941176471,0.5294117647058824,0.29411764705882354,0.11764705882352941,6.588235294117647,7.0,13
ATL,17,29.705882352941178,27.0,17.42805279488943,1.0,17.0,40.0,77.0,0.6470588235294118,0.5882352941176471,0.4117647058823529,0.35294117647058826,0.35294117647058826,5.9411764705882355,6.0,11
NE,17,29.058823529411764,24.0,17.8637674316257,2.0,15.0,47.0,60.0,0.6470588235294118,0.47058823529411764,0.47058823529411764,0.4117647058823529,0.29411764705882354,6.117647058823529,6.0,11
