team,q1_rush_yds_games,q1_rush_yds_mean,q1_rush_yds_median,q1_rush_yds_std,q1_rush_yds_min,q1_rush_yds_p25,q1_rush_yds_p75,q1_rush_yds_max,q1_rush_yds_hit_20,q1_rush_yds_hit_25,q1_rush_yds_hit_30,q1_rush_yds_hit_35,q1_rush_yds_hit_40,q1_rush_att_mean,q1_rush_att_median,q1_rush_att_max
BUF,17,43.05882352941177,42.0,24.99993079575197,11.0,19.0,67.0,80.0,0.7058823529411765,0.6470588235294118,0.5882352941176471,0.5294117647058824,0.5294117647058824,7.0,6.0,13
NE,17,40.8235294117647,32.0,27.231545924269625,11.0,19.0,57.0,108.0,0.7058823529411765,0.5882352941176471,0.5294117647058824,0.4117647058823529,0.4117647058823529,7.647058823529412,7.0,13
MIA,17,38.64705882352941,32.0,24.482745848671826,5.0,21.0,54.0,96.0,0.7647058823529411,0.7058823529411765,0.5882352941176471,0.47058823529411764,0.47058823529411764,6.0,7.0,11
BAL,17,37.470588235294116,38.0,27.4507422958862,-2.0,14.0,48.0,93.0,0.5882352941176471,0.5882352941176471,0.5882352941176471,0.5882352941176471,0.47058823529411764,7.647058823529412,6.0,15
PHI,17,37.1764705882353,32.0,21.423558484329533,18.0,23.0,40.0,112.0,0.9411764705882353,0.7058823529411765,0.5882352941176471,0.47058823529411764,0.35294117647058826,6.647058823529412,7.0,10
LA,17,35.1764705882353,27.0,22.72918645607487,8.0,15.0,50.0,79.0,0.6470588235294118,0.5294117647058824,0.47058823529411764,0.47058823529411764,0.4117647058823529,6.470588235294118,6.0,13
DAL,17,33.94117647058823,29.0,20.743448542598852,5.0,20.0,44.0,78.0,0.7647058823529411,0.6470588235294118,0.47058823529411764,0.4117647058823529,0.35294117647058826,7.176470588235294,7.0,13
CHI,17,32.35294117647059,31.0,22.632462828919483,-1.0,18.0,40.0,84.0,0.7058823529411765,0.6470588235294118,0.5294117647058824,0.4117647058823529,0.35294117647058826,7.117647058823529,7.0,13
WAS,17,31.058823529411764,30.0,17.857180425071704,3.0,20.0,39.0,80.0,0.7647058823529411,0.6470588235294118,0.5294117647058824,0.4117647058823529,0.23529411764705882,6.647058823529412,7.0,12
IND,17,30.41176470588235,24.0,22.85261942388382,4.0,13.0,42.0,77.0,0.5882352941176471,0.47058823529411764,0.4117647058823529,0.35294117647058826,0.29411764705882354,6.588235294117647,7.0,12
ATL,17,29.470588235294116,31.0,18.39155064011996,1.0,15.0,36.0,65.0,0.7058823529411765,0.5882352941176471,0.5294117647058824,0.35294117647058826,0.23529411764705882,6.588235294117647,7.0,13
TB,17,29.176470588235293,31.0,12.22935376156915,7.0,21.0,34.0,51.0,0.8235294117647058,0.6470588235294118,0.5294117647058824,0.23529411764705882,0.23529411764705882,6.764705882352941,7.0,11
CAR,17,29.176470588235293,29.0,17.50709198856834,0.0,16.0,40.0,67.0,0.6470588235294118,0.6470588235294118,0.47058823529411764,0.47058823529411764,0.29411764705882354,6.764705882352941,7.0,13
SEA,17,28.294117647058822,19.0,20.769787746748467,5.0,14.0,37.0,88.0,0.47058823529411764,0.47058823529411764,0.47058823529411764,0.35294117647058826,0.17647058823529413,6.0,6.0,12
GB,17,28.235294117647058,23.0,21.23407198699272,0.0,15.0,33.0,84.0,0.5294117647058824,0.47058823529411764,0.35294117647058826,0.23529411764705882,0.23529411764705882,6.882352941176471,7.0,13
NYG,17,27.11764705882353,22.0,15.818389718526891,-3.0,17.0,39.0,60.0,0.6470588235294118,0.47058823529411764,0.4117647058823529,0.29411764705882354,0.23529411764705882,6.235294117647059,6.0,10
SF,17,26.823529411764707,27.0,23.083570154390426,1.0,11.0,29.0,94.0,0.5294117647058824,0.5294117647058824,0.23529411764705882,0.23529411764705882,0.23529411764705882,6.117647058823529,6.0,12
DEN,17,26.705882352941178,18.0,19.628205113717332,2.0,15.0,31.0,75.0,0.47058823529411764,0.4117647058823529,0.29411764705882354,0.23529411764705882,0.17647058823529413,5.823529411764706,6.0,13
TEN,17,26.294117647058822,23.0,20.72158495494451,1.0,12.0,35.0,92.0,0.5882352941176471,0.47058823529411764,0.4117647058823529,0.29411764705882354,0.11764705882352941,5.764705882352941,5.0,10
NYJ,17,26.176470588235293,17.0,20.338995562328765,2.0,11.0,33.0,76.0,0.47058823529411764,0.47058823529411764,0.35294117647058826,0.23529411764705882,0.23529411764705882,6.529411764705882,6.0,11
LAC,17,25.941176470588236,26.0,16.621993184917578,3.0,14.0,29.0,69.0,0.6470588235294118,0.5294117647058824,0.23529411764705882,0.17647058823529413,0.11764705882352941,6.352941176470588,6.0,11
KC,17,25.235294117647058,21.0,13.989615525830352,7.0,17.0,30.0,66.0,0.5294117647058824,0.4117647058823529,0.29411764705882354,0.23529411764705882,0.11764705882352941,5.764705882352941,5.0,9
CIN,17,24.58823529411765,23.0,15.173734363460827,-3.0,15.0,29.0,63.0,0.5882352941176471,0.4117647058823529,0.23529411764705882,0.17647058823529413,0.17647058823529413,6.235294117647059,7.0,11
PIT,17,24.294117647058822,17.0,16.394994594414023,3.0,13.0,43.0,55.0,0.47058823529411764,0.35294117647058826,0.29411764705882354,0.29411764705882354,0.29411764705882354,5.823529411764706,6.0,10
DET,17,23.41176470588235,21.0,8.015124112131513,13.0,18.0,28.0,44.0,0.5882352941176471,0.4117647058823529,0.11764705882352941,0.11764705882352941,0.058823529411764705,6.411764705882353,5.0,11
JAX,17,23.176470588235293,18.0,18.34709559998577,4.0,7.0,31.0,71.0,0.47058823529411764,0.4117647058823529,0.29411764705882354,0.17647058823529413,0.17647058823529413,5.823529411764706,6.0,10
CLE,17,23.11764705882353,18.0,15.612522699804252,-2.0,14.0,34.0,54.0,0.47058823529411764,0.47058823529411764,0.35294117647058826,0.17647058823529413,0.11764705882352941,6.294117647058823,6.0,11
ARI,17,22.529411764705884,21.0,11.852612752711696,5.0,14.0,31.0,46.0,0.5882352941176471,0.4117647058823529,0.29411764705882354,0.17647058823529413,0.11764705882352941,5.647058823529412,5.0,9
MIN,17,22.176470588235293,21.0,12.368057977366046,1.0,16.0,29.0,46.0,0.5882352941176471,0.35294117647058826,0.23529411764705882,0.17647058823529413,0.11764705882352941,6.0588235294117645,6.0,10
LV,17,20.705882352941178,18.0,15.414907627443952,-1.0,9.0,28.0,58.0,0.47058823529411764,0.35294117647058826,0.23529411764705882,0.17647058823529413,0.11764705882352941,5.235294117647059,5.0,10
NO,17,20.11764705882353,18.0,16.291038146030857,-1.0,10.0,27.0,71.0,0.47058823529411764,0.29411764705882354,0.23529411764705882,0.058823529411764705,0.058823529411764705,5.529411764705882,5.0,9
HOU,17,19.941176470588236,19.0,14.288912148257573,3.0,6.0,29.0,54.0,0.4117647058823529,0.29411764705882354,0.17647058823529413,0.17647058823529413,0.11764705882352941,6.352941176470588,6.0,10
