team,q1_rush_yds_games,q1_rush_yds_mean,q1_rush_yds_median,q1_rush_yds_std,q1_rush_yds_min,q1_rush_yds_p25,q1_rush_yds_p75,q1_rush_yds_max,q1_rush_yds_hit_20,q1_rush_yds_hit_25,q1_rush_yds_hit_30,q1_rush_yds_hit_35,q1_rush_yds_hit_40,q1_rush_att_mean,q1_rush_att_median,q1_rush_att_max,team_q1_att,team_q1_yds,rb_q1_att,rb_q1_yds,rb_carry_capture,rb_yard_capture,opp_q1_rush_yds_allowed_games,opp_q1_rush_yds_allowed_mean,opp_q1_rush_yds_allowed_median,opp_q1_rush_yds_allowed_std,opp_q1_rush_yds_allowed_min,opp_q1_rush_yds_allowed_p25,opp_q1_rush_yds_allowed_p75,opp_q1_rush_yds_allowed_max,opp_q1_rush_yds_allowed_hit_20,opp_q1_rush_yds_allowed_hit_25,opp_q1_rush_yds_allowed_hit_30,opp_q1_rush_yds_allowed_hit_35,opp_q1_rush_yds_allowed_hit_40,opp_q1_rush_att_allowed_mean,opp_q1_rush_att_allowed_median,opp_q1_rush_att_allowed_max
BUF,17,43.05882352941177,42.0,24.99993079575197,11.0,19.0,67.0,80.0,0.7058823529411765,0.6470588235294118,0.5882352941176471,0.5294117647058824,0.5294117647058824,7.0,6.0,13,119,732.0,100,639.0,0.8403361344537815,0.8729508196721312,17,36.52941176470589,30.0,21.39026069488532,2.0,20.0,52.0,82.0,0.7647058823529411,0.6470588235294118,0.5294117647058824,0.4705882352941176,0.4117647058823529,7.588235294117647,7.0,13
NE,17,40.8235294117647,32.0,27.231545924269625,11.0,19.0,57.0,108.0,0.7058823529411765,0.5882352941176471,0.5294117647058824,0.4117647058823529,0.4117647058823529,7.647058823529412,7.0,13,130,694.0,109,562.0,0.8384615384615385,0.8097982708933718,17,29.058823529411764,24.0,17.8637674316257,2.0,15.0,47.0,60.0,0.6470588235294118,0.4705882352941176,0.4705882352941176,0.4117647058823529,0.2941176470588235,6.117647058823529,6.0,11
MIA,17,38.64705882352941,32.0,24.482745848671826,5.0,21.0,54.0,96.0,0.7647058823529411,0.7058823529411765,0.5882352941176471,0.4705882352941176,0.4705882352941176,6.0,7.0,11,102,657.0,94,602.0,0.9215686274509803,0.9162861491628614,17,31.94117647058824,20.0,29.18595671216129,-1.0,12.0,56.0,108.0,0.5294117647058824,0.4117647058823529,0.4117647058823529,0.3529411764705882,0.3529411764705882,7.0,7.0,12
BAL,17,37.47058823529412,38.0,27.4507422958862,-2.0,14.0,48.0,93.0,0.5882352941176471,0.5882352941176471,0.5882352941176471,0.5882352941176471,0.4705882352941176,7.647058823529412,6.0,15,130,637.0,110,520.0,0.8461538461538461,0.8163265306122449,17,21.235294117647054,18.0,14.14433751495715,0.0,15.0,30.0,54.0,0.4705882352941176,0.4117647058823529,0.2941176470588235,0.1176470588235294,0.1176470588235294,6.0,6.0,11
PHI,17,37.1764705882353,32.0,21.423558484329533,18.0,23.0,40.0,112.0,0.9411764705882352,0.7058823529411765,0.5882352941176471,0.4705882352941176,0.3529411764705882,6.647058823529412,7.0,10,113,632.0,86,498.0,0.7610619469026548,0.7879746835443038,17,29.764705882352946,30.0,16.32223100294487,11.0,18.0,36.0,84.0,0.7058823529411765,0.5882352941176471,0.5294117647058824,0.2941176470588235,0.1176470588235294,6.588235294117647,7.0,13
LA,17,35.1764705882353,27.0,22.72918645607487,8.0,15.0,50.0,79.0,0.6470588235294118,0.5294117647058824,0.4705882352941176,0.4705882352941176,0.4117647058823529,6.470588235294118,6.0,13,110,598.0,105,545.0,0.9545454545454546,0.9113712374581939,17,20.705882352941178,19.0,15.203578161976727,4.0,12.0,26.0,72.0,0.4705882352941176,0.2941176470588235,0.1176470588235294,0.0588235294117647,0.0588235294117647,5.705882352941177,5.0,12
DAL,17,33.94117647058823,29.0,20.74344854259885,5.0,20.0,44.0,78.0,0.7647058823529411,0.6470588235294118,0.4705882352941176,0.4117647058823529,0.3529411764705882,7.176470588235294,7.0,13,122,577.0,110,532.0,0.9016393442622951,0.9220103986135182,17,26.235294117647054,21.0,22.79455407551835,-1.0,5.0,42.0,71.0,0.5294117647058824,0.4117647058823529,0.3529411764705882,0.2941176470588235,0.2941176470588235,5.470588235294118,6.0,9
CHI,17,32.35294117647059,31.0,22.632462828919483,-1.0,18.0,40.0,84.0,0.7058823529411765,0.6470588235294118,0.5294117647058824,0.4117647058823529,0.3529411764705882,7.117647058823529,7.0,13,121,550.0,103,468.0,0.8512396694214877,0.850909090909091,17,31.764705882352946,22.0,23.33522813199645,-3.0,21.0,41.0,94.0,0.7647058823529411,0.4705882352941176,0.3529411764705882,0.3529411764705882,0.3529411764705882,6.470588235294118,5.0,12
WAS,17,31.058823529411764,30.0,17.857180425071704,3.0,20.0,39.0,80.0,0.7647058823529411,0.6470588235294118,0.5294117647058824,0.4117647058823529,0.2352941176470588,6.647058823529412,7.0,12,113,528.0,83,382.0,0.7345132743362832,0.7234848484848485,17,33.23529411764706,28.0,19.788675941096468,2.0,18.0,44.0,78.0,0.6470588235294118,0.6470588235294118,0.4705882352941176,0.4117647058823529,0.2941176470588235,6.470588235294118,6.0,13
IND,17,30.41176470588235,24.0,22.85261942388382,4.0,13.0,42.0,77.0,0.5882352941176471,0.4705882352941176,0.4117647058823529,0.3529411764705882,0.2941176470588235,6.588235294117647,7.0,12,112,517.0,90,404.0,0.8035714285714286,0.781431334622824,17,17.823529411764707,10.0,15.1860434924643,1.0,5.0,28.0,51.0,0.4117647058823529,0.3529411764705882,0.2352941176470588,0.1764705882352941,0.1176470588235294,5.0588235294117645,5.0,8
ATL,17,29.47058823529412,31.0,18.39155064011996,1.0,15.0,36.0,65.0,0.7058823529411765,0.5882352941176471,0.5294117647058824,0.3529411764705882,0.2352941176470588,6.588235294117647,7.0,13,112,501.0,109,493.0,0.9732142857142857,0.9840319361277445,17,29.705882352941178,27.0,17.42805279488943,1.0,17.0,40.0,77.0,0.6470588235294118,0.5882352941176471,0.4117647058823529,0.3529411764705882,0.3529411764705882,5.941176470588236,6.0,11
TB,17,29.176470588235293,31.0,12.22935376156915,7.0,21.0,34.0,51.0,0.8235294117647058,0.6470588235294118,0.5294117647058824,0.2352941176470588,0.2352941176470588,6.764705882352941,7.0,11,115,496.0,103,419.0,0.8956521739130435,0.844758064516129,17,21.11764705882353,18.0,12.860712417103205,0.0,13.0,31.0,53.0,0.4117647058823529,0.4117647058823529,0.2941176470588235,0.1176470588235294,0.1176470588235294,4.823529411764706,5.0,9
CAR,17,29.176470588235293,29.0,17.50709198856834,0.0,16.0,40.0,67.0,0.6470588235294118,0.6470588235294118,0.4705882352941176,0.4705882352941176,0.2941176470588235,6.764705882352941,7.0,13,115,496.0,96,384.0,0.8347826086956521,0.7741935483870968,17,33.76470588235294,30.0,19.20333736854002,5.0,20.0,50.0,79.0,0.7647058823529411,0.6470588235294118,0.5294117647058824,0.3529411764705882,0.3529411764705882,6.235294117647059,6.0,11
SEA,17,28.294117647058822,19.0,20.769787746748467,5.0,14.0,37.0,88.0,0.4705882352941176,0.4705882352941176,0.4705882352941176,0.3529411764705882,0.1764705882352941,6.0,6.0,12,102,481.0,89,430.0,0.8725490196078431,0.893970893970894,17,25.529411764705884,23.0,17.938186829019337,3.0,14.0,35.0,79.0,0.5882352941176471,0.4705882352941176,0.3529411764705882,0.2941176470588235,0.1764705882352941,7.235294117647059,7.0,13
GB,17,28.235294117647054,23.0,21.23407198699272,0.0,15.0,33.0,84.0,0.5294117647058824,0.4705882352941176,0.3529411764705882,0.2352941176470588,0.2352941176470588,6.882352941176471,7.0,13,117,480.0,90,333.0,0.7692307692307693,0.69375,17,28.41176470588235,25.0,21.976080107376134,-3.0,16.0,38.0,93.0,0.5294117647058824,0.5294117647058824,0.3529411764705882,0.3529411764705882,0.2352941176470588,6.352941176470588,6.0,15
