defense,window,rush_yds_allowed_games,rush_yds_allowed_mean,rush_yds_allowed_median,rush_yds_allowed_std,rush_yds_allowed_min,rush_yds_allowed_p25,rush_yds_allowed_p75,rush_yds_allowed_max,rush_yds_allowed_hit_20,rush_yds_allowed_hit_25,rush_yds_allowed_hit_30,rush_yds_allowed_hit_35,rush_yds_allowed_hit_40,rush_att_allowed_mean,ypc_allowed,rush_yds_allowed_hit_45,rush_yds_allowed_hit_55,rush_yds_allowed_hit_65,rush_yds_allowed_hit_75,rush_yds_allowed_hit_50,rush_yds_allowed_hit_60,rush_yds_allowed_hit_70,rush_yds_allowed_hit_80,rush_yds_allowed_hit_100,rush_yds_allowed_hit_120
ARI,Q1,17,28.470588235294116,29.0,20.488497912555786,1.0,13.0,36.0,78.0,0.5882352941176471,0.5882352941176471,0.47058823529411764,0.29411764705882354,0.11764705882352941,6.235294117647059,4.566037735849057,,,,,,,,,,
ATL,Q1,17,29.705882352941178,27.0,17.42805279488943,1.0,17.0,40.0,77.0,0.6470588235294118,0.5882352941176471,0.4117647058823529,0.35294117647058826,0.35294117647058826,5.9411764705882355,5.0,,,,,,,,,,
BAL,Q1,17,21.235294117647058,18.0,14.14433751495715,0.0,15.0,30.0,54.0,0.47058823529411764,0.4117647058823529,0.29411764705882354,0.11764705882352941,0.11764705882352941,6.0,3.5392156862745097,,,,,,,,,,
BUF,Q1,17,36.529411764705884,30.0,21.390260694885317,2.0,20.0,52.0,82.0,0.7647058823529411,0.6470588235294118,0.5294117647058824,0.47058823529411764,0.4117647058823529,7.588235294117647,4.813953488372093,,,,,,,,,,
CAR,Q1,17,33.76470588235294,30.0,19.20333736854002,5.0,20.0,50.0,79.0,0.7647058823529411,0.6470588235294118,0.5294117647058824,0.35294117647058826,0.35294117647058826,6.235294117647059,5.415094339622642,,,,,,,,,,
CHI,Q1,17,31.764705882352942,22.0,23.33522813199645,-3.0,21.0,41.0,94.0,0.7647058823529411,0.47058823529411764,0.35294117647058826,0.35294117647058826,0.35294117647058826,6.470588235294118,4.909090909090909,,,,,,,,,,
CIN,Q1,17,30.941176470588236,26.0,21.055865714067853,6.0,14.0,44.0,81.0,0.6470588235294118,0.5294117647058824,0.35294117647058826,0.35294117647058826,0.35294117647058826,6.529411764705882,4.738738738738738,,,,,,,,,,
CLE,Q1,17,35.411764705882355,29.0,25.784306270035454,-2.0,14.0,53.0,92.0,0.7058823529411765,0.5294117647058824,0.47058823529411764,0.47058823529411764,0.4117647058823529,6.647058823529412,5.327433628318584,,,,,,,,,,
DAL,Q1,17,26.235294117647058,21.0,22.79455407551835,-1.0,5.0,42.0,71.0,0.5294117647058824,0.4117647058823529,0.35294117647058826,0.29411764705882354,0.29411764705882354,5.470588235294118,4.795698924731183,,,,,,,,,,
DEN,Q1,17,21.705882352941178,23.0,9.047357143402532,10.0,16.0,26.0,43.0,0.5294117647058824,0.35294117647058826,0.17647058823529413,0.11764705882352941,0.058823529411764705,6.117647058823529,3.548076923076923,,,,,,,,,,
DET,Q1,17,25.235294117647058,19.0,15.501534693528615,7.0,15.0,33.0,65.0,0.47058823529411764,0.29411764705882354,0.29411764705882354,0.23529411764705882,0.23529411764705882,6.117647058823529,4.125,,,,,,,,,,
GB,Q1,17,28.41176470588235,25.0,21.976080107376138,-3.0,16.0,38.0,93.0,0.5294117647058824,0.5294117647058824,0.35294117647058826,0.35294117647058826,0.23529411764705882,6.352941176470588,4.472222222222222,,,,,,,,,,
HOU,Q1,17,22.529411764705884,21.0,14.701411084969815,4.0,12.0,28.0,67.0,0.5294117647058824,0.4117647058823529,0.23529411764705882,0.11764705882352941,0.058823529411764705,5.705882352941177,3.948453608247423,,,,,,,,,,
IND,Q1,17,17.823529411764707,10.0,15.1860434924643,1.0,5.0,28.0,51.0,0.4117647058823529,0.35294117647058826,0.23529411764705882,0.17647058823529413,0.11764705882352941,5.0588235294117645,3.5232558139534884,,,,,,,,,,
