game_id,week,team,window,opponent,site,rush_att,rush_yds,ypc
2025_01_ARI_NO,1,NO,Q1,ARI,H,6,32.0,5.333333333333333
2025_01_BAL_BUF,1,BUF,Q1,BAL,H,6,30.0,5.0
2025_01_CAR_JAX,1,JAX,Q1,CAR,H,4,18.0,4.5
2025_01_CIN_CLE,1,CLE,Q1,CIN,H,6,14.0,2.3333333333333335
2025_01_DAL_PHI,1,PHI,Q1,DAL,H,8,56.0,7.0
2025_01_DET_GB,1,GB,Q1,DET,H,6,11.0,1.8333333333333333
2025_01_HOU_LA,1,LA,Q1,HOU,H,4,8.0,2.0
2025_01_KC_LAC,1,LAC,Q1,KC,H,5,28.0,5.6
2025_01_LV_NE,1,NE,Q1,LV,H,6,17.0,2.8333333333333335
2025_01_MIA_IND,1,IND,Q1,MIA,H,11,44.0,4.0
2025_01_MIN_CHI,1,CHI,Q1,MIN,H,6,27.0,4.5
2025_01_NYG_WAS,1,WAS,Q1,NYG,H,7,39.0,5.571428571428571
2025_01_PIT_NYJ,1,NYJ,Q1,PIT,H,11,49.0,4.454545454545454
2025_01_SF_SEA,1,SEA,Q1,SF,H,8,31.0,3.875
2025_01_TB_ATL,1,ATL,Q1,TB,H,6,13.0,2.1666666666666665
2025_01_TEN_DEN,1,DEN,Q1,TEN,H,3,13.0,4.333333333333333
2025_02_ATL_MIN,2,MIN,Q1,ATL,H,7,17.0,2.4285714285714284
2025_02_BUF_NYJ,2,NYJ,Q1,BUF,H,5,2.0,0.4
2025_02_CAR_ARI,2,ARI,Q1,CAR,H,4,5.0,1.25
2025_02_CHI_DET,2,DET,Q1,CHI,H,7,26.0,3.7142857142857144
2025_02_CLE_BAL,2,BAL,Q1,CLE,H,6,-2.0,-0.3333333333333333
2025_02_DEN_IND,2,IND,Q1,DEN,H,8,23.0,2.875
2025_02_JAX_CIN,2,CIN,Q1,JAX,H,3,13.0,4.333333333333333
2025_02_LAC_LV,2,LV,Q1,LAC,H,5,18.0,3.6
2025_02_LA_TEN,2,TEN,Q1,LA,H,5,12.0,2.4
2025_02_NE_MIA,2,MIA,Q1,NE,H,2,5.0,2.5
2025_02_NYG_DAL,2,DAL,Q1,NYG,H,2,5.0,2.5
2025_02_PHI_KC,2,KC,Q1,PHI,H,7,36.0,5.142857142857143
2025_02_SEA_PIT,2,PIT,Q1,SEA,H,8,29.0,3.625
2025_02_SF_NO,2,NO,Q1,SF,H,5,30.0,6.0
2025_02_TB_HOU,2,HOU,Q1,TB,H,5,13.0,2.6
2025_02_WAS_GB,2,GB,Q1,WAS,H,7,33.0,4.714285714285714
2025_03_ARI_SF,3,SF,Q1,ARI,H,2,1.0,0.5
2025_03_ATL_CAR,3,CAR,Q1,ATL,H,5,28.0,5.6
2025_03_CIN_MIN,3,MIN,Q1,CIN,H,5,22.0,4.4
2025_03_DAL_CHI,3,CHI,Q1,DAL,H,2,-1.0,-0.5
2025_03_DEN_LAC,3,LAC,Q1,DEN,H,7,27.0,3.857142857142857
2025_03_DET_BAL,3,BAL,Q1,DET,H,5,48.0,9.6
2025_03_GB_CLE,3,CLE,Q1,GB,H,5,17.0,3.4
2025_03_HOU_JAX,3,JAX,Q1,HOU,H,4,4.0,1.0
2025_03_IND_TEN,3,TEN,Q1,IND,H,3,1.0,0.3333333333333333
2025_03_KC_NYG,3,NYG,Q1,KC,H,9,39.0,4.333333333333333
2025_03_LA_PHI,3,PHI,Q1,LA,H,8,26.0,3.25
2025_03_LV_WAS,3,WAS,Q1,LV,H,10,80.0,8.0
2025_03_MIA_BUF,3,BUF,Q1,MIA,H,7,56.0,8.0
2025_03_NO_SEA,3,SEA,Q1,NO,H,4,5.0,1.25
2025_03_NYJ_TB,3,TB,Q1,NYJ,H,6,20.0,3.3333333333333335
2025_03_PIT_NE,3,NE,Q1,PIT,H,4,13.0,3.25
2025_04_BAL_KC,4,KC,Q1,BAL,H,3,7.0,2.3333333333333335
2025_04_CAR_NE,4,NE,Q1,CAR,H,5,52.0,10.4
2025_04_CHI_LV,4,LV,Q1,CHI,H,10,58.0,5.8
2025_04_CIN_DEN,4,DEN,Q1,CIN,H,7,29.0,4.142857142857143
2025_04_CLE_DET,4,DET,Q1,CLE,H,5,20.0,4.0
2025_04_GB_DAL,4,DAL,Q1,GB,H,4,11.0,2.75
