team,window,rush_yds_games,rush_yds_mean,rush_yds_median,rush_yds_std,rush_yds_min,rush_yds_p25,rush_yds_p75,rush_yds_max,rush_yds_hit_20,rush_yds_hit_25,rush_yds_hit_30,rush_yds_hit_35,rush_yds_hit_40,rush_att_mean,rush_att_median,ypc_mean,rush_yds_hit_45,rush_yds_hit_55,rush_yds_hit_65,rush_yds_hit_75,rush_yds_hit_50,rush_yds_hit_60,rush_yds_hit_70,rush_yds_hit_80,rush_yds_hit_100,rush_yds_hit_120
ARI,Q1,17,22.529411764705884,21.0,11.852612752711696,5.0,14.0,31.0,46.0,0.5882352941176471,0.4117647058823529,0.29411764705882354,0.17647058823529413,0.11764705882352941,5.647058823529412,5.0,3.9895833333333335,,,,,,,,,,
ATL,Q1,17,29.470588235294116,31.0,18.39155064011996,1.0,15.0,36.0,65.0,0.7058823529411765,0.5882352941176471,0.5294117647058824,0.35294117647058826,0.23529411764705882,6.588235294117647,7.0,4.473214285714286,,,,,,,,,,
BAL,Q1,17,37.470588235294116,38.0,27.4507422958862,-2.0,14.0,48.0,93.0,0.5882352941176471,0.5882352941176471,0.5882352941176471,0.5882352941176471,0.47058823529411764,7.647058823529412,6.0,4.9,,,,,,,,,,
BUF,Q1,17,43.05882352941177,42.0,24.99993079575197,11.0,19.0,67.0,80.0,0.7058823529411765,0.6470588235294118,0.5882352941176471,0.5294117647058824,0.5294117647058824,7.0,6.0,6.151260504201681,,,,,,,,,,
CAR,Q1,17,29.176470588235293,29.0,17.50709198856834,0.0,16.0,40.0,67.0,0.6470588235294118,0.6470588235294118,0.47058823529411764,0.47058823529411764,0.29411764705882354,6.764705882352941,7.0,4.3130434782608695,,,,,,,,,,
CHI,Q1,17,32.35294117647059,31.0,22.632462828919483,-1.0,18.0,40.0,84.0,0.7058823529411765,0.6470588235294118,0.5294117647058824,0.4117647058823529,0.35294117647058826,7.117647058823529,7.0,4.545454545454546,,,,,,,,,,
CIN,Q1,17,24.58823529411765,23.0,15.173734363460827,-3.0,15.0,29.0,63.0,0.5882352941176471,0.4117647058823529,0.23529411764705882,0.17647058823529413,0.17647058823529413,6.235294117647059,7.0,3.943396226415094,,,,,,,,,,
CLE,Q1,17,23.11764705882353,18.0,15.612522699804252,-2.0,14.0,34.0,54.0,0.47058823529411764,0.47058823529411764,0.35294117647058826,0.17647058823529413,0.11764705882352941,6.294117647058823,6.0,3.6728971962616823,,,,,,,,,,
DAL,Q1,17,33.94117647058823,29.0,20.743448542598852,5.0,20.0,44.0,78.0,0.7647058823529411,0.6470588235294118,0.47058823529411764,0.4117647058823529,0.35294117647058826,7.176470588235294,7.0,4.729508196721311,,,,,,,,,,
DEN,Q1,17,26.705882352941178,18.0,19.628205113717332,2.0,15.0,31.0,75.0,0.47058823529411764,0.4117647058823529,0.29411764705882354,0.23529411764705882,0.17647058823529413,5.823529411764706,6.0,4.585858585858586,,,,,,,,,,
DET,Q1,17,23.41176470588235,21.0,8.015124112131513,13.0,18.0,28.0,44.0,0.5882352941176471,0.4117647058823529,0.11764705882352941,0.11764705882352941,0.058823529411764705,6.411764705882353,5.0,3.6513761467889907,,,,,,,,,,
GB,Q1,17,28.235294117647058,23.0,21.23407198699272,0.0,15.0,33.0,84.0,0.5294117647058824,0.47058823529411764,0.35294117647058826,0.23529411764705882,0.23529411764705882,6.882352941176471,7.0,4.102564102564102,,,,,,,,,,
HOU,Q1,17,19.941176470588236,19.0,14.288912148257573,3.0,6.0,29.0,54.0,0.4117647058823529,0.29411764705882354,0.17647058823529413,0.17647058823529413,0.11764705882352941,6.352941176470588,6.0,3.138888888888889,,,,,,,,,,
IND,Q1,17,30.41176470588235,24.0,22.85261942388382,4.0,13.0,42.0,77.0,0.5882352941176471,0.47058823529411764,0.4117647058823529,0.35294117647058826,0.29411764705882354,6.588235294117647,7.0,4.616071428571429,,,,,,,,,,
